step,reward_score_ma30,response_length_ma30,clip_ratio_ma30
193,0.755599,3849.0671,0.166016
194,0.760417,3822.0565,0.162891
195,0.757292,3822.9992,0.163802
196,0.755729,3850.456,0.167057
197,0.752214,3841.5339,0.166927
198,0.751823,3840.2609,0.165625
199,0.753646,3833.3983,0.164453
200,0.752474,3827.2267,0.165104
201,0.747917,3833.3867,0.168229
202,0.746615,3858.1172,0.16888
203,0.748828,3811.8786,0.166276
204,0.750911,3812.6276,0.166797
205,0.751042,3812.897,0.164323
206,0.759766,3761.9664,0.157161
207,0.758464,3742.6648,0.156641
208,0.756901,3769.8215,0.160286
209,0.75625,3762.6436,0.159375
210,0.754167,3764.3935,0.161068
211,0.757943,3747.2776,0.157943
212,0.757292,3773.1385,0.158203
213,0.755078,3774.0645,0.15599
214,0.750651,3783.9215,0.157682
215,0.755859,3767.4168,0.154557
216,0.750651,3801.0585,0.158203
217,0.755469,3813.8039,0.157292
218,0.759375,3798.582,0.154167
219,0.756901,3823.2977,0.15612
220,0.756901,3825.8214,0.157422
221,0.75625,3846.3258,0.15625
222,0.757943,3811.0074,0.152474
223,0.760026,3789.2919,0.147656
224,0.759115,3803.9673,0.149349
225,0.758984,3799.0185,0.148958
226,0.763932,3771.5724,0.145703
227,0.768229,3763.8392,0.142969
228,0.76875,3751.8102,0.143099
229,0.771354,3730.5629,0.140885
230,0.771354,3706.6095,0.138151
231,0.782943,3652.8341,0.130469
232,0.783464,3637.1197,0.130599
233,0.78099,3659.2025,0.132161
234,0.779688,3669.4866,0.133984
235,0.78151,3644.9505,0.133333
236,0.780208,3664.7151,0.136589
237,0.782161,3659.3755,0.135417
238,0.786068,3603.4578,0.129427
239,0.788021,3611.7622,0.128776
240,0.788672,3636.9984,0.129818
241,0.78763,3648.3807,0.129036
242,0.789974,3638.9534,0.128255
243,0.796224,3619.1986,0.126562
244,0.801432,3600.4052,0.123568
245,0.8,3608.4622,0.124089
246,0.801823,3597.2995,0.123177
247,0.804818,3581.0323,0.121224
248,0.801432,3598.326,0.121484
249,0.799349,3590.5686,0.121354
250,0.802734,3565.25,0.117448
251,0.803776,3544.5846,0.119141
252,0.799089,3558.4003,0.122135
253,0.79974,3549.9904,0.124349
254,0.79401,3566.5105,0.125651
255,0.794661,3564.5701,0.124219
256,0.793359,3574.2263,0.12474
257,0.796224,3546.7583,0.122526
258,0.797656,3516.3604,0.118099
259,0.796094,3532.6163,0.119271
260,0.798958,3523.4202,0.116667
261,0.799089,3536.0328,0.117057
262,0.800521,3514.4826,0.113802
263,0.796484,3534.5182,0.117057
264,0.797656,3503.4938,0.113802
265,0.794661,3520.8895,0.115234
266,0.795312,3496.9454,0.114062
267,0.797526,3503.6822,0.114062
268,0.797786,3516.1204,0.116406
269,0.79401,3508.0324,0.118229
270,0.795182,3472.4826,0.114323
271,0.79362,3453.4029,0.114323
272,0.791667,3441.3956,0.114974
273,0.789974,3438.8448,0.115104
274,0.788021,3451.6525,0.116667
275,0.788672,3424.2625,0.115495
276,0.788932,3420.8889,0.114453
277,0.785677,3404.5676,0.115234
278,0.786198,3372.2121,0.113672
279,0.789583,3353.3663,0.110547
280,0.78776,3352.0876,0.111068
281,0.788542,3337.1301,0.107682
282,0.794401,3305.2172,0.103385
283,0.794792,3283.756,0.100911
284,0.797396,3285.5794,0.099609
285,0.794401,3293.2152,0.101823
286,0.792969,3294.2658,0.102865
287,0.788542,3320.2867,0.105469
288,0.789844,3306.9914,0.105078
289,0.784115,3309.712,0.104948
290,0.785547,3292.215,0.105469
291,0.785547,3281.8306,0.10599
292,0.786068,3275.0349,0.10625
293,0.789453,3248.8757,0.102474
294,0.789844,3252.7371,0.102734
295,0.790495,3241.3484,0.103516
296,0.790755,3232.594,0.104167
297,0.791406,3199.7992,0.103255
298,0.78724,3211.7186,0.103906
299,0.788281,3213.4978,0.104427
300,0.784766,3225.6923,0.106771
301,0.785938,3220.2096,0.10612
302,0.786328,3213.9281,0.104297
303,0.782682,3239.4021,0.108594
304,0.779557,3227.5044,0.108724
305,0.778255,3249.3995,0.110156
306,0.775391,3268.0655,0.113542
307,0.777995,3277.9604,0.113542
308,0.777474,3296.6155,0.116797
309,0.776693,3324.0582,0.120703
310,0.776953,3342.5302,0.121875
311,0.774479,3364.0896,0.124219
312,0.774479,3384.716,0.126302
313,0.772266,3390.8923,0.127734
314,0.775,3346.8689,0.125391
315,0.777214,3333.007,0.123047
316,0.777083,3308.7642,0.122266
317,0.780078,3293.4099,0.121615
318,0.778776,3295.8129,0.122135
319,0.783984,3277.5417,0.121094
320,0.785417,3286.2967,0.119271
321,0.782031,3309.6193,0.121615
322,0.777214,3328.7598,0.124089
323,0.775521,3333.7849,0.124349
324,0.776302,3339.9736,0.124479
325,0.779557,3346.9517,0.122266
326,0.775911,3360.0717,0.121224
327,0.778906,3370.256,0.120573
328,0.783594,3346.778,0.11849
329,0.786198,3332.1293,0.117839
330,0.786719,3337.7932,0.11875
331,0.790495,3324.0504,0.117448
332,0.790234,3329.8805,0.119271
333,0.793099,3294.5328,0.114453
334,0.796484,3280.5466,0.113672
335,0.798437,3280.5471,0.113281
336,0.801953,3252.2283,0.108724
337,0.801693,3247.546,0.107552
338,0.801953,3230.482,0.106641
339,0.803255,3216.1792,0.104818
340,0.802865,3189.3884,0.102604
341,0.807422,3174.1099,0.09974
342,0.809766,3155.2691,0.097135
343,0.809635,3168.0083,0.098438
344,0.807422,3178.1561,0.097656
345,0.80612,3204.4174,0.100521
346,0.805469,3219.1789,0.10026
347,0.807552,3206.6305,0.098047
348,0.811589,3208.5645,0.098698
349,0.810677,3235.5292,0.101432
350,0.808333,3250.6406,0.105078
351,0.807292,3237.4092,0.102734
352,0.808203,3237.1197,0.101562
353,0.811198,3219.9443,0.10026
354,0.810026,3229.1353,0.102604
355,0.807943,3193.6728,0.101172
356,0.808724,3199.1535,0.101302
357,0.804167,3234.3111,0.105339
358,0.802214,3244.4052,0.10651
359,0.797396,3269.94,0.106641
360,0.8,3252.282,0.104297
361,0.792578,3285.3053,0.108203
362,0.791667,3294.3426,0.109635
363,0.791406,3303.3557,0.11224
364,0.788802,3338.3014,0.114063
365,0.786328,3335.2129,0.114323
366,0.786328,3341.6146,0.116667
367,0.785547,3347.1087,0.116276
368,0.789062,3338.5749,0.114063
369,0.786849,3344.2104,0.114714
370,0.784896,3362.4685,0.116667
371,0.784375,3355.3339,0.117057
372,0.780729,3377.3099,0.121224
373,0.784766,3357.7401,0.118359
374,0.781771,3383.3715,0.123568
375,0.779036,3378.8639,0.123828
376,0.778125,3384.9391,0.124609
377,0.776042,3404.0284,0.128255
378,0.776953,3408.1938,0.126953
379,0.777865,3387.3911,0.125
380,0.775781,3390.3431,0.125521
381,0.776693,3392.3352,0.126823
382,0.776562,3391.0784,0.126042
383,0.776302,3391.6533,0.12513
384,0.77526,3391.8835,0.125391
385,0.779036,3401.6523,0.12487
386,0.783203,3405.6888,0.124349
387,0.785677,3368.6189,0.120443
388,0.788151,3354.2272,0.117318
389,0.792188,3323.8021,0.114974
390,0.790755,3318.7366,0.115234
391,0.79349,3298.1715,0.112891
392,0.795964,3282.8956,0.109766
393,0.79388,3310.8176,0.110026
394,0.792318,3309.8618,0.110937
395,0.795182,3314.2564,0.109896
396,0.795182,3329.5142,0.108333
397,0.790234,3352.1654,0.1125
398,0.78724,3369.9734,0.113542
399,0.78763,3382.2116,0.114323
400,0.786849,3394.926,0.115885
401,0.786198,3399.6212,0.116146
402,0.784896,3405.156,0.115495
403,0.782292,3414.4674,0.116536
404,0.782812,3428.9297,0.115885
405,0.782161,3424.815,0.115234
406,0.777604,3419.7672,0.116016
407,0.779297,3408.4089,0.114062
408,0.772526,3443.091,0.117839
409,0.769661,3451.8173,0.119531
410,0.769271,3467.1421,0.120964
411,0.767057,3479.5289,0.122786
412,0.766927,3500.9141,0.124609
413,0.765885,3497.9086,0.123568
414,0.770182,3475.3819,0.119271
415,0.76862,3486.6902,0.120443
416,0.766016,3479.5844,0.120312
417,0.763021,3501.9372,0.124219
418,0.760677,3520.3809,0.125781
419,0.760677,3522.8906,0.125911
420,0.763542,3512.7089,0.123568
421,0.760938,3532.782,0.12526
422,0.759115,3532.4737,0.127865
423,0.761068,3525.1214,0.127734
424,0.764323,3508.2264,0.125521
425,0.765365,3484.6365,0.124609
426,0.761849,3486.2755,0.126693
427,0.765234,3481.6031,0.12474
428,0.760156,3512.9128,0.127604
429,0.762891,3487.9895,0.124219
430,0.762891,3479.7991,0.124219
431,0.760807,3491.6852,0.127734
432,0.76276,3481.4827,0.128385
433,0.763151,3477.5267,0.129036
434,0.769531,3427.746,0.12513
435,0.77474,3409.8943,0.123568
436,0.780599,3393.6266,0.121354
437,0.782292,3392.5889,0.120052
438,0.782552,3380.598,0.11862
439,0.783854,3378.8962,0.117318
440,0.789193,3352.8337,0.113021
441,0.792448,3334.3009,0.109635
442,0.794922,3316.432,0.109505
443,0.79987,3299.5171,0.109245
444,0.797786,3296.5432,0.109896
445,0.794661,3283.4314,0.108594
446,0.795833,3270.0664,0.107552
447,0.79401,3268.1292,0.10612
448,0.793099,3265.8891,0.108333
449,0.789583,3299.2799,0.110807
450,0.7875,3318.4952,0.113151
451,0.792969,3290.6779,0.110286
452,0.795182,3283.5331,0.108073
453,0.791536,3278.1323,0.109245
454,0.792318,3296.3616,0.110286
455,0.786328,3326.8402,0.114062
456,0.793099,3299.0668,0.111068
457,0.796094,3271.1275,0.108854
458,0.798958,3249.7172,0.107552
459,0.792839,3276.2919,0.11237
460,0.790625,3289.0352,0.111328
461,0.790885,3272.3898,0.107031
462,0.795052,3256.4138,0.104427
463,0.788542,3268.3971,0.104167
464,0.783203,3295.122,0.107682
465,0.779818,3310.827,0.109115
466,0.778906,3327.706,0.109245
467,0.772396,3336.0109,0.110938
468,0.773958,3337.4673,0.111979
469,0.774609,3335.6628,0.111849
470,0.770703,3347.8671,0.113281
471,0.769141,3353.5443,0.113411
472,0.770052,3350.8661,0.11263
473,0.764323,3353.4139,0.11263
474,0.76237,3378.706,0.115104
475,0.763281,3399.099,0.116276
476,0.762891,3401.9978,0.116406
477,0.763802,3399.6737,0.116406
478,0.764323,3395.2978,0.113802
479,0.76901,3349.4457,0.110807
480,0.768099,3350.3889,0.11224
481,0.767448,3370.4539,0.114453
482,0.764583,3396.6501,0.117057
483,0.767969,3403.4068,0.114844
484,0.767839,3381.7647,0.114193
485,0.765365,3394.9177,0.116276
486,0.763672,3388.6411,0.116276
487,0.760417,3392.1793,0.116016
488,0.76263,3386.9626,0.114844
489,0.770312,3351.5861,0.109115
490,0.774609,3325.8961,0.108073
491,0.776953,3322.8292,0.110417
492,0.770703,3347.8103,0.113411
493,0.776953,3350.356,0.115234
494,0.778255,3341.8332,0.113021
495,0.783724,3317.4246,0.111719
496,0.784766,3316.0999,0.11276
497,0.788281,3317.6223,0.113672
498,0.792188,3282.6393,0.110156
499,0.79401,3285.1702,0.109766
500,0.794401,3284.1526,0.109896
501,0.794271,3294.5457,0.110938
502,0.790755,3301.1087,0.110677
503,0.792969,3308.3746,0.11224
504,0.793359,3288.2193,0.110807
505,0.795443,3266.3878,0.110677
506,0.793099,3272.2068,0.110286
507,0.796484,3252.4089,0.107812
508,0.796094,3255.3984,0.108984
509,0.79362,3272.9092,0.110156
510,0.795312,3278.8095,0.106901
511,0.792839,3287.8917,0.108073
512,0.798438,3253.6846,0.105339
513,0.796745,3234.9824,0.10612
514,0.794271,3237.3375,0.105729
515,0.80013,3218.8573,0.101953
516,0.792187,3280.3076,0.110156
517,0.795443,3263.785,0.109375
518,0.797135,3262.6734,0.109505
519,0.797005,3269.7823,0.110026
520,0.797005,3258.3444,0.109245
521,0.795964,3270.3414,0.108984
522,0.796354,3271.7061,0.108724
523,0.795443,3260.1962,0.107292
524,0.794792,3259.4246,0.108333
525,0.794141,3267.5161,0.108073
526,0.794792,3243.349,0.10599
527,0.792448,3229.4439,0.103516
528,0.78737,3285.018,0.10651
529,0.787891,3264.4738,0.105469
530,0.789323,3273.232,0.10651
531,0.788151,3266.3781,0.107031
532,0.792448,3249.0135,0.10599
533,0.793099,3248.2908,0.105599
534,0.790755,3270.6151,0.106641
535,0.793359,3276.899,0.104557
536,0.794401,3278.1902,0.10638
537,0.792578,3283.7721,0.10651
538,0.789844,3301.0853,0.107161
539,0.790885,3297.8539,0.10651
540,0.784245,3309.7704,0.111328
541,0.786589,3285.4007,0.107943
542,0.784896,3287.5091,0.107292
543,0.786458,3287.3945,0.107682
544,0.790234,3271.0783,0.107292
545,0.790885,3245.7329,0.105469
546,0.798307,3201.4221,0.099479
547,0.795443,3228.9103,0.102474
548,0.79362,3235.0066,0.102344
549,0.794792,3227.6141,0.101562
550,0.795313,3253.7133,0.103646
551,0.799089,3237.3315,0.101302
552,0.802344,3207.2712,0.098698
553,0.80013,3225.0507,0.099479
554,0.799609,3231.681,0.09987
555,0.800911,3237.0147,0.099609
556,0.800521,3250.0048,0.09987
557,0.803776,3258.257,0.102083
558,0.80638,3230.7379,0.102344
559,0.801432,3268.2991,0.105859
560,0.802214,3247.8939,0.104036
561,0.804818,3234.2634,0.102083
562,0.799219,3241.5504,0.103516
563,0.79974,3244.7385,0.102344
564,0.799479,3229.0647,0.103125
565,0.794401,3246.5329,0.107422
566,0.797396,3209.5672,0.104297
567,0.800781,3205.2681,0.104036
568,0.803646,3193.6553,0.104557
569,0.803646,3210.2538,0.106901
570,0.81237,3148.8978,0.100781
571,0.808594,3162.7529,0.104167
572,0.808594,3165.1236,0.102995
573,0.808854,3162.2302,0.101172
574,0.803516,3181.0363,0.103255
575,0.801042,3206.9742,0.105729
